,Distancias
UNIVALLE,0.03632156704018023
CIAT,0.0
CENICAÑA,0.0009008630726301456
UAO,0.08281941085518923
UNAL,0.02398922012112258
UIS,0.05868286066443591
UCESAR,0.13578412305304263
ITM,0.14041983645415762
UPB,0.08975852447016384
UPAMPLONA,0.1429217724186679
ULIBRE,0.15412651337529218
UDEA,0.04799469816581531
SENA,0.1076845679755149
BIOPACIFICO,0.0444384024381408
CORPOICA-AGROSAVIA,0.0249182903329053
BIOTEC,0.0745425903377723
ALEXANDER VON HUMBOLT,0.04126183042773021
CORPOGEN,0.04626184729363136
CENIPALMA,0.0447795755242104
