,Distancias
CORPOGEN,0.0
CENIPALMA,0.006086268302334764
BIOPACIFICO,0.007487138899881301
UDEA,0.01561641420472916
ALEXANDER VON HUMBOLT,0.0183850961941724
UIS,0.019090938716822697
UNIVALLE,0.03533380040853419
BIOTEC,0.043467140417942626
UAO,0.05618850771310661
UPB,0.06685383660518632
CORPOICA-AGROSAVIA,0.07445535098682689
UNAL,0.07764273898188051
SENA,0.0944059362430589
CENICAÑA,0.13242687119599628
CIAT,0.13396971787887585
UPAMPLONA,0.14856506887531143
UCESAR,0.1496236208371086
ITM,0.17150598852161747
ULIBRE,0.1835378522256198
