,Distancias
UNIVALLE,0.04281828306945273
CIAT,0.05151933782542095
CENICAÑA,0.05138256888160796
UAO,0.028838294799956143
UNAL,0.046526112317400295
UIS,0.03609516223396668
UCESAR,0.012913985316507694
ITM,0.0115881068783879
UPB,0.026751988877384836
UPAMPLONA,0.010831331384387565
ULIBRE,0.007399183327844201
UDEA,0.039308652884149434
SENA,0.021362365244075622
BIOPACIFICO,0.040377884669467234
CORPOICA-AGROSAVIA,0.04624677913554491
BIOTEC,0.031326794142045374
ALEXANDER VON HUMBOLT,0.04133294915846654
CORPOGEN,0.039829649835369324
CENIPALMA,0.04027530796160747
INCAUCA,0.011295939167669055
RIOPAILA,0.005595687763665892
MAYAGUEZ,0.00469509904042261
PROVIDENCIA,0.0034977912526358533
RISARALDA,0.00550064493830431
GPC,0.00434158609243136
PROGEN,0.02762128301178955
BIOENERGY,0.04420219933142503
ASOCAÑA,0.00032486766205865454
PROCAÑA,0.00014843664126880062
CIAMSA,1.558627044039369e-05
TECNICAÑA,0.01736245548592205
TERPEL,0.02095611511859715
FEDEPETROLEO,5.011790236531436e-06
MINMINAS,3.849200114730357e-05
MINCIENCIAS,0.0001163698830484474
DNP,1.15622662842912e-05
MADR,2.1024065019944182e-05
FEPALMA,0.025579744084466116
FEDEBIOCOMBUSTIBLES,0.0
ICA,0.012547143191788904
BANCO AGRARIO,0.00028719824956778366
FINAGRO,7.625528771064701e-05
BANCOLDEX,4.358681585111671e-05
