,Distancias
UNIVALLE,0.04275999924072391
CIAT,0.05146105399669214
CENICAÑA,0.05132428505287914
UAO,0.02878001097122733
UNAL,0.04646782848867148
UIS,0.036036878405237865
UCESAR,0.012855701487778879
ITM,0.011529823049659086
UPB,0.026693705048656022
UPAMPLONA,0.01077304755565875
ULIBRE,0.007340899499115386
UDEA,0.03925036905542062
SENA,0.021304081415346808
BIOPACIFICO,0.04031960084073842
CORPOICA-AGROSAVIA,0.046188495306816096
BIOTEC,0.03126851031331656
ALEXANDER VON HUMBOLT,0.041274665329737725
CORPOGEN,0.03977136600664051
CENIPALMA,0.040217024132878657
INCAUCA,0.01123765533894024
RIOPAILA,0.005537403934937077
MAYAGUEZ,0.004636815211693795
PROVIDENCIA,0.003439507423907038
RISARALDA,0.005442361109575494
GPC,0.004283302263702545
PROGEN,0.027562999183060734
BIOENERGY,0.04414391550269622
ASOCAÑA,0.00026658383332983936
PROCAÑA,9.015281253998546e-05
CIAMSA,0.026117328648995294
TECNICAÑA,0.017304171657193234
TERPEL,0.020897831289868336
FEDEPETROLEO,0.028742000565005792
MINMINAS,0.02011807855525701
MINCIENCIAS,5.808605431963225e-05
DNP,0.027054711476141895
MADR,0.02461751612556072
FEPALMA,0.028742000565005792
FEDEBIOCOMBUSTIBLES,0.029866859957581718
ICA,0.012488859363060089
BANCO AGRARIO,0.00022891442083896847
FINAGRO,0.0
BANCOLDEX,0.01880574259725176
