,Distancias
UNIVALLE,0.049772472169089296
CIAT,0.061730140081379545
CENICAÑA,0.061542181534203544
UAO,0.028240058150534927
UNAL,0.05486806024041159
UIS,0.04043163526881829
UCESAR,0.02592427796928344
ITM,0.031503583750467634
UPB,0.02552260973204898
UPAMPLONA,0.031492436990902234
ULIBRE,0.038154926552848044
UDEA,0.04555944488309603
SENA,0.015515239746668767
BIOPACIFICO,0.046418686397232733
CORPOICA-AGROSAVIA,0.05448417880084026
BIOTEC,0.03247574576496914
ALEXANDER VON HUMBOLT,0.04773121048937702
CORPOGEN,0.04639080662218273
CENIPALMA,0.046277717486850736
INCAUCA,0.006452009217630377
RIOPAILA,0.02490999084972429
MAYAGUEZ,0.027826186809085204
PROVIDENCIA,0.03170318864437455
RISARALDA,0.041219164918844135
GPC,0.04308988431200414
PROGEN,0.026168576084789272
BIOENERGY,0.05167435780746342
ASOCAÑA,0.04197743116528897
PROCAÑA,0.042546033080145054
CIAMSA,0.042910088431571056
TECNICAÑA,0.01464811688283479
TERPEL,0.016274057170752004
FEDEPETROLEO,0.042936360467240975
MINMINAS,0.04285003806432554
MINCIENCIAS,0.0426492446488483
DNP,0.04294291094328873
MADR,0.04289507583975968
FEPALMA,0.042936360467240975
FEDEBIOCOMBUSTIBLES,0.04294761991109952
ICA,0.0
BANCO AGRARIO,0.04209940847375644
FINAGRO,0.042756209365504394
BANCOLDEX,0.04283690204649057
