,Distancias
UNIVALLE,0.0
CIAT,0.09974121914779098
CENICAÑA,0.0981983724649114
UAO,0.0744449245385189
UNAL,0.043414240250795634
UIS,0.03734735554223499
UCESAR,0.15520914318271567
ITM,0.15984485658383066
UPB,0.08511025343059861
UPAMPLONA,0.16234679254834095
ULIBRE,0.17355153350496522
UDEA,0.023340831897545867
SENA,0.1126623530684712
BIOPACIFICO,0.01521155659269801
CORPOICA-AGROSAVIA,0.04014358320157968
BIOTEC,0.061723557243354925
ALEXANDER VON HUMBOLT,0.00925842306983735
CORPOGEN,0.0182564168254123
CENIPALMA,0.015850940472277118
