;UNIVALLE;CIAT;CENICAÑA;UAO;UNAL;UIS;UCESAR;ITM;UPB;UPAMPLONA;ULIBRE;UDEA;SENA;BIOPACIFICO;CORPOICA-AGROSAVIA;BIOTEC;ALEXANDER VON HUMBOLT;CORPOGEN;CENIPALMA
UNIVALLE;0.0;0.019228973574493727;0.03362348372538554;0.08966042852051885;0.07846659629223177;0.08143560835365628;0.0;0.0;0.06480109229218664;0.0;0.21990752843423317;0.0;0.02077917191136797;0.08110637955262652;0.02466167615146186;0.05271107958480679;0.06227855700698471;0.05367175159683365;0.11766767300321261
CIAT;0.05505258965227147;0.0;0.03045128035502335;0.14899624633914557;0.1253159321181335;0.1315968140454898;0.0;0.0;0.0;0.0;0.0;0.0;0.00327941164146693;0.09519319244523958;0.06725797413700635;0.0708306838029836;0.08587505803423783;0.0728629650310907;0.11328785239791153
CENICAÑA;0.07397438031851816;0.031669085128050084;0.0;0.06913223590378202;0.055322513530400456;0.05898535494657627;0.0;0.0;0.0;0.0;0.22981682122400754;0.0;0.028258523561091133;0.10482052327030168;0.0833536374397781;0.02354818208975884;0.09765998042623544;0.024733353843936448;0.11872540831756384
UAO;0.15470184757459948;0.12152380249915626;0.0966872346618224;0.0;0.01931405588542113;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11884906013199666;0.0;0.0;0.06375312544625053;0.17327734514469625;0.06209556326830764;0.1897979653877495
UNAL;0.06770800275062876;0.05111552318359441;0.03869465138662283;0.007471419743980979;0.0;0.0019816926753456546;0.07556354932295598;0.07748337546457491;0.011791820037380486;0.07642732760192054;0.09440596852455534;0.09050928054757834;0.04977787330177466;0.07980610995789407;0.07138662339227199;0.022224165166736535;0.07699768703366844;0.021395211365930387;0.08525971854258589
UIS;0.14342691197664215;0.10956024902629083;0.08420819257215437;0.0;0.005229115864674457;0.0;0.09941647441986697;0.0;0.0;0.10058352558013296;0.0;0.18996626053313034;0.0;0.16812017843331445;0.0;0.05059052842595146;0.0;0.048898563167841934;0.0
UCESAR;0.0;0.0;0.0;0.0;0.11999506986650149;0.11684813787134446;0.0;0.0;0.0;0.16666666666666663;0.0;0.23117165235121728;0.0;0.2180244709714416;0.0;0.14729400227282854;0.0;0.0;0.0
ITM;0.0;0.0;0.0;0.0;0.19072560722782475;0.0;0.0;0.0;0.21317737131522582;0.0;0.0;0.3630563422740536;0.0;0.0;0.0;0.23304067918289592;0.0;0.0;0.0
UPB;0.14160700651692712;0.0;0.0;0.0;0.02382108227940174;0.0;0.0;0.22617891772059825;0.0;0.0;0.0;0.19935094640898096;0.0;0.17224530589668427;0.0;0.02641977855132694;0.0;0.02432046381671837;0.18605649880936234
UPAMPLONA;0.0;0.0;0.0;0.0;0.19539071255029575;0.19032440503908352;0.0022082971982408596;0.0;0.0;0.0;0.0;0.37437607218947627;0.0;0.0;0.0;0.0;0.0;0.23770051302290368;0.0
ULIBRE;0.21728890728227596;0.0;0.18406580623734112;0.0;0.13975667776791637;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2215012846719117;0.0;0.0;0.0;0.23738732404055485
UDEA;0.0;0.0;0.0;0.0;0.09806099225316556;0.10083667816742503;0.20390014788843366;0.2065891795659562;0.08528531260638675;0.2051100111693519;0.0;0.0;0.0;0.0115961978918572;0.0;0.07398253670624726;0.014638943751176385;0.0;0.0
SENA;0.07320060098012623;0.005461018869356678;0.028585955658914634;0.15330027608101282;0.12838758349269302;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12259169549620155;0.08821874362735585;0.07106679673264352;0.11112617616204981;0.07320484258019061;0.14485631031945542
BIOPACIFICO;0.016031680554632315;0.03801903175517496;0.054478420438679724;0.0;0.10575423404947851;0.10914914801408966;0.23520505758211382;0.0;0.09012842674273965;0.0;0.0;0.094636706577005;0.03979160454130447;0.0;0.011156994787830301;0.07630411342792025;0.003721552339729101;0.07740259290916435;0.04822043628013781
CORPOICA-AGROSAVIA;0.0060497658546451874;0.033337335328974586;0.05376438486803153;0.0;0.1174006234260851;0.0;0.0;0.0;0.0;0.0;0.31811748682946056;0.0;0.03553720026989666;0.08229116946552027;0.0;0.08085132718942338;0.05484194141734552;0.0822146035062102;0.1355941618444069
BIOTEC;0.07750401594573282;0.049230592478094325;0.02806554799307686;0.04795015976433983;0.0334236238663606;0.037276590340418254;0.18034036117093225;0.18407304174835176;0.015689533308974137;0.0;0.0;0.11635717108459699;0.04695125011655445;0.0981190727156378;0.08377234966630677;0.0;0.0;0.0012466898006231431;0.0
ALEXANDER VON HUMBOLT;0.020752177798582117;0.057818032310245814;0.08556495374381327;0.1935820163815016;0.17200473586809875;0.0;0.0;0.0;0.0;0.0;0.0;0.14990533161375302;0.06080620148090923;0.031158247125648138;0.012534526123563525;0.0;0.0;0.12421008356601297;0.09166369398787153
CORPOGEN;0.08496394342594181;0.05452391912424567;0.03173699099692388;0.053783937596489396;0.037055109934710624;0.04149220440677181;0.0;0.0;0.016632447108801386;0.20817915809608392;0.0;0.0;0.05206991008085641;0.10715873811626328;0.09171262142044821;0.001520771729118512;0.10200649660121476;0.0;0.11716375136213039
CENIPALMA;0.02557999611473256;0.04976199449537011;0.06786426187903628;0.1383352780797784;0.12425812353125781;0.0;0.0;0.0;0.1070726406806274;0.0;0.3021316006964994;0.0;0.051711494999218344;0.007948128152326555;0.020218748084273395;0.0;0.01204114380627972;0.09307658948059994;0.0
