;UNIVALLE;CIAT;CENICAÑA;UAO;UNAL;UIS;UCESAR;ITM;UPB;UPAMPLONA;ULIBRE;UDEA;SENA;BIOPACIFICO;CORPOICA-AGROSAVIA;BIOTEC;ALEXANDER VON HUMBOLT;CORPOGEN;CENIPALMA;INCAUCA;RIOPAILA;MAYAGUEZ;PROVIDENCIA;RISARALDA;GPC;PROGEN;BIOENERGY;ASOCAÑA;PROCAÑA;CIAMSA;TECNICAÑA;TERPEL;FEDEPETROLEO;MINMINAS;MINCIENCIAS;DNP;MADR;FEPALMA;FEDEBIOCOMBUSTIBLES;ICA;BANCO AGRARIO;FINAGRO;BANCOLDEX
UNIVALLE;0.0;0.016432528574414337;0.042601461699315384;0.03887798036465639;0.02878732781049068;0.006137613230900483;0.0;0.0;0.035330076897035365;0.0;0.07437394206122745;0.0;0.03519218545310846;0.024826705573916454;0.08727782102218862;0.043520302036231015;0.05768425585724745;0.05952193653107871;0.028724270140310197;0.023813278731730086;0.007970789785433136;0.0025733534926035777;0.02003482129902791;0.0;0.0;0.00879954773637665;0.0034734245780335612;0.03449104421562545;0.010466071876860881;0.0;0.061189962044662476;0.006076056933819538;0.01947731322027202;0.0;0.08717422627832067;0.021998118654391857;0.0;0.0;0.0;0.0565266971975057;0.04747013589979206;0.002930680290292989;0.006246070513130541
CIAT;0.035307552601102604;0.0;0.03598707933777993;0.07235386909914394;0.016990113360332237;0.022120044603541403;0.0;0.0;0.0;0.0;0.0;0.0;0.025797966513227782;0.011543531874786439;0.09742526177348372;0.03725065320781557;0.056728685707678785;0.05925583344775008;0.016903397506506268;0.010149884224011821;0.018181212102312872;0.029778347926978366;0.05439847048994;0.0;0.016400511413796767;0.016400511413796767;0.0;0.02483376880521037;0.012819754594498104;0.0;0.0;0.0;0.0041871369418828314;0.0;0.09728280001362678;0.007653706431735523;0.0;0.0;0.014301921891726996;0.05513683039101623;0.08054122117786466;0.02901058205040802;0.04125935109804499
CENICAÑA;0.034145236375733135;0.02097450114639748;0.0;0.04796458067666421;0.011072081758347865;0.02922591562493148;0.0;0.0;0.0;0.0;0.060581771985899875;0.0;0.005938563577594468;0.014246535804486505;0.05328054875903429;0.0010957991679446538;0.017987579152241775;0.020179177488131084;0.011122622724965687;0.015058801339415843;0.027756617523970416;0.032082683595186644;0.04126669924345432;0.02709236481985042;0.02709236481985042;0.02709236481985042;0.03537987998882572;0.006500530992130772;0.025756639273522182;0.033236702332960326;0.022168446892684192;0.029275253235201255;0.018534094472565345;0.05419550525383775;0.05315700277441309;0.016513659164200382;0.026080736405689205;0.005518387313080736;0.012638851723500445;0.016607087063213465;0.051018699087998505;0.031796284784352306;0.03636542883787332
UAO;0.016583742738264646;0.03238912973498238;0.057559334883706924;0.0;0.04427241247559364;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05043283101629696;0.0;0.0;0.05844310800768968;0.07206649959535849;0.07383404584332401;0.04421176137884973;0.03948819620148438;0.02425033018144184;0.019058885114909156;0.008037714392300681;0.0;0.02504745888150472;0.02504745888150472;0.015102123089234731;0.04975844858345391;0.026650380724022465;0.0;0.0;0.0;0.03531771126347426;0.0;0.10043099583926254;0.037742311059498844;0.0;0.0;0.0;0.07095311874798807;0.039999999999999994;0.019402574663124672;0.013919426702728395
UNAL;0.02516296195330973;0.010799312293406997;0.010944268800091353;0.040233967224604664;0.0;0.019798083030542958;0.0526067848576392;0.05238893507750728;0.03885862644401279;0.05339813074570876;0.053993936770888824;0.0128387011989793;0.005074258309008773;0.0034619742167951903;0.04633918312291694;0.0116722214688943;0.022893635647794612;0.024349540985400504;5.511861906951854e-05;0.004347809166126794;0.018195706033307578;0.022913597356044015;0.032929437849819956;0.017471289896965288;0.017471289896965288;0.017471289896965288;0.02650943107629376;0.004518778086245734;0.016014583535842213;0.024172139158131423;0.025671036761609766;0.01985188930153939;0.008137870401192947;0.04694699981206448;0.04625711002790485;0.005934437986485166;0.028270018103659506;0.014610200377298339;0.0017086771911551694;0.021976558020920314;0.043564706634091475;0.022601258514650058;0.027584244148149438
UIS;0.015152895126461218;0.012862126867662022;0.045556726736897694;0.0;0.028297804568404434;0.0;0.09266692225086369;0.0;0.0;0.0949020484155545;0.0;0.009947186638356673;0.0;0.02334953408905598;0.0;0.046704695475851925;0.0;0.06669660858005812;0.0;0.0;0.0;0.0;0.0;0.0;0.0033257329643232884;0.0;0.0;0.0;0.0;0.012354354074485136;0.06878058450976098;0.0001519737524914038;0.016666180139882907;0.10233240940138566;0.1012444651716578;0.01981559110835374;0.0728791330303737;0.051337837281761965;0.025855557349256715;0.0;0.06712791847852566;0.0;0.021991713988574968
UCESAR;0.0;0.0;0.0;0.0;0.06752255805262287;0.04211106000388096;0.0;0.0;0.0;0.0625;0.0;0.05104365805190419;0.0;0.06307899900101337;0.0;0.08405199132534624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03649681348416355;0.10387619393277323;0.04204199786547459;0.05707733072926025;0.0;0.13302883855225994;0.05990550951912089;0.0;0.08821256405372967;0.06532941404762076;0.0;0.011605808137069592;0.0;0.03211726324375993
ITM;0.0;0.0;0.0;0.0;0.1146049545398433;0.0;0.0;0.0;0.02959862428120703;0.0;0.0;0.08651927642703552;0.0;0.0;0.0;0.1427767586204917;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07638512087779588;0.0;0.0;0.0;0.0;0.0;0.0;0.07117737068903647;0.09680271698719882;0.0;0.22625004665156592;0.1016229003206757;0.0;0.0;0.0;0.0;0.0;0.0;0.05426223060514976
UPB;0.01591853662948935;0.0;0.0;0.0;0.04516556818696623;0.0;0.0;0.06744910242319568;0.0;0.0;0.0;0.030243084108172225;0.0;0.04114169892397343;0.0;0.06013381271985038;0.0;0.07639097670960675;0.04510150355124004;0.0;0.024016611654974106;0.0;0.0;0.024858604010232647;0.024858604010232647;0.0;0.0;0.0;0.0;0.017070174724091156;0.07808563885941153;0.022091621886248972;0.035706882326534704;0.10536954693642149;0.10448484482401217;0.03826794240711276;0.0;0.0639014234399384;0.043179564479454244;0.0;0.023459988485895217;0.0;0.013104268702945858
UPAMPLONA;0.0;0.0;0.0;0.0;0.07477698672028052;0.04705240214798452;0.001108174764489892;0.0;0.0;0.0;0.0;0.056798091660571405;0.0;0.0;0.0;0.0;0.0;0.11239795787098127;0.0;0.0;0.0;0.0;0.0;0.05031076675402196;0.05031076675402196;0.0;0.0;0.0;0.0;0.0;0.11443971933590376;0.04697705361507559;0.06338098056007851;0.0;0.14624598906894945;0.06646659487115401;0.0;0.09735030451833909;0.07238421135814813;0.0;0.0;0.0;0.0
