;UNIVALLE;CIAT;CENICAÑA;UAO;UNAL;UIS;UCESAR;ITM;UPB;UPAMPLONA;ULIBRE;UDEA;SENA;BIOPACIFICO;CORPOICA-AGROSAVIA;BIOTEC;ALEXANDER VON HUMBOLT;CORPOGEN;CENIPALMA
UNIVALLE;0.0;0.08029454427675033;0.07903242142812154;0.06889193074713916;0.03421636434545418;0.1358593134188767;0.0;0.0;0.0496392093273775;0.0;0.25547487286348836;0.0;0.00019214957785791193;0.04461673228836179;0.03163863886647496;0.09185614901837706;0.027155707635970434;0.05463986901236806;0.046492097193382036
CIAT;0.09890389860578869;0.0;0.0015546370101881795;0.014045324530227226;0.05675742576178731;0.1379606005987833;0.0;0.0;0.0;0.0;0.0;0.0;0.0990233644939061;0.12664362932571516;0.059932574231748054;0.028706066067883347;0.11578752003423126;0.13287535225638497;0.12780960708335637
CENICAÑA;0.0697261535202782;0.0041072888868079515;0.0;0.008946422205172897;0.03953885278792334;0.18493006619684058;0.0;0.0;0.0;0.0;0.18349299977515335;0.0;0.0698117206495895;0.08959466295821913;0.04181304455925738;0.04173187568558223;0.0818190031259402;0.09405811817747636;0.09042979147175884
UAO;0.1034447093084739;0.08539878304493889;0.07594623472816854;0.0;0.05206711218030339;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10359034119309148;0.0;0.0;0.1719883155602259;0.12402626314396954;0.14485675500868886;0.13868148583213946
UNAL;0.025500959998849878;0.05115102410583409;0.04974995148640785;0.038493072763304916;0.0;0.11283303607032145;0.08367780662847688;0.09326358480872601;0.017120778568666672;0.09843711498667337;0.12160639921194911;0.049638786468533355;0.025573243505120625;0.04228503979803036;0.0019211414066029621;0.06398547033879838;0.03571648992649169;0.04605557874128013;0.04299052118593229
UIS;0.10202680920212323;0.041727695782952996;0.042675517200757955;0.0;0.0763312099177319;0.0;0.16064769793304984;0.0;0.0;0.17551965856920193;0.0;0.126348870669187;0.0;0.11893899560202506;0.0;0.03304523146482832;0.0;0.1227383136581417;0.0
UCESAR;0.0;0.0;0.0;0.0;0.15663794937481987;0.29844134366041086;0.0;0.0;0.0;0.16666666666666666;0.0;0.06371823702615086;0.0;0.07748384400248735;0.0;0.23705195926946443;0.0;0.0;0.0
ITM;0.0;0.0;0.0;0.0;0.2468152035540686;0.0;0.0;0.0;0.2772343459146113;0.0;0.0;0.11544981360541084;0.0;0.0;0.0;0.3605006369259092;0.0;0.0;0.0
UPB;0.08514294833275572;0.0;0.0;0.0;0.026453815667764037;0.0;0.0;0.24109510375648255;0.0;0.0;0.0;0.14069490010193197;0.0;0.1237706347429276;0.0;0.125;0.0;0.13244833394597266;0.12539426345216545
UPAMPLONA;0.0;0.0;0.0;0.0;0.2533340769476135;0.44828920397808897;0.03798400389746388;0.0;0.0;0.0;0.0;0.12558555290251075;0.0;0.0;0.0;0.0;0.0;0.13480716227432285;0.0
ULIBRE;0.16830481807129707;0.0;0.27145655312731626;0.0;0.21296341875396124;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2095990165143482;0.0;0.0;0.0;0.13767619353307728
UDEA;0.0;0.0;0.0;0.0;0.09454015014736063;0.2388164705137052;0.0897212353327731;0.11498776345011244;0.11643199157715901;0.12862433455044778;0.0;0.0;0.0;0.01400566701637072;0.0;0.17635650942389616;0.02651587798817493;0.0;0.0
SENA;0.00015964303651530375;0.13232556039956833;0.1302480889397522;0.11355670267639435;0.056480246425939455;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09384679409602885;0.05223727505461987;0.15135611983084685;0.05696043331832355;0.11502063954245446;0.09780849667955678
BIOPACIFICO;0.022531362839660868;0.10286522217821899;0.1016024813493993;0.0;0.0567644807328336;0.15845719780557838;0.22220860145455604;0.0;0.07219487728764618;0.0;0.0;0.03947708472345051;0.022434327677376388;0.0;0.0541854931078712;0.11443248789232036;0.008817783414809068;0.020241367018094376;0.0037872325181847726
CORPOICA-AGROSAVIA;0.04598911349396655;0.11138572207110282;0.10849640239548408;0.0;0.005901068151052112;0.0;0.0;0.0;0.0;0.0;0.23342923030690774;0.0;0.04613009228736237;0.07872409607055429;0.0;0.13785317101872466;0.0659130651310586;0.08607800096664836;0.08010003810713852
BIOTEC;0.07740140336239373;0.009742237636635311;0.010805749233230385;0.019350503371946628;0.04856942372249745;0.07142857142857142;0.14317750189415196;0.15401540608826741;0.035573561625092405;0.0;0.0;0.10469219246824119;0.07748312877905227;0.09637787511350394;0.05074151096639088;0.0;0.0;0.10064093431002503;0.0
ALEXANDER VON HUMBOLT;0.022369821526685235;0.15341176471890194;0.15135196062982761;0.13480252236191198;0.07821145950082958;0.0;0.0;0.0;0.0;0.0;0.0;0.13286420692278453;0.02221153613708206;0.06268543172308846;0.07400457148839792;0.0;0.0;0.09866869532141494;0.06941802966907572
CORPOGEN;0.029430479686136234;0.11511386576479614;0.1137670375301776;0.10294598379767321;0.06594322140261863;0.1744077768226485;0.0;0.0;0.08240114632044022;0.07142857142857144;0.0;0.0;0.02932698283758839;0.0053987267370729005;0.06319249594038907;0.12745140938857275;0.014803696782206182;0.0;0.004388605561108917
CENIPALMA;0.03607688904767059;0.15951773047012402;0.15757740553501692;0.1419879191835829;0.08867942690705902;0.0;0.0;0.0;0.11238974220737183;0.0;0.1604125398957699;0.0;0.035927785018826666;0.0014552437013304166;0.08471655987857739;0.0;0.01500463138377364;0.006254126770896762;0.0
