;UNIVALLE;CIAT;CENICAÑA;UAO;UNAL;UIS;UCESAR;ITM;UPB;UPAMPLONA;ULIBRE;UDEA;SENA;BIOPACIFICO;CORPOICA-AGROSAVIA;BIOTEC;ALEXANDER VON HUMBOLT;CORPOGEN;CENIPALMA;INCAUCA;RIOPAILA;MAYAGUEZ;PROVIDENCIA;RISARALDA;GPC;PROGEN;BIOENERGY;ASOCAÑA;PROCAÑA;CIAMSA;TECNICAÑA;TERPEL;FEDEPETROLEO;MINMINAS;MINCIENCIAS;DNP;MADR;FEPALMA;FEDEBIOCOMBUSTIBLES;ICA;BANCO AGRARIO;FINAGRO;BANCOLDEX
UNIVALLE;0.0;0.010583282635653191;0.020833833737660023;0.027079573240590477;0.010255390833405332;0.025618120011174337;0.0;0.0;0.02478443878752114;0.0;0.05155012602523015;0.0;0.017585164036422022;0.01655914097994164;0.04551767380282073;0.016882193050791007;0.010321937140134603;0.042411776177838256;0.019218573383413196;0.07971521586456781;0.048145647952202095;0.0576036930377058;0.045478955951632795;0.0;0.0;0.03637421125821903;0.039991910478592074;0.05985295820515512;0.0287129164544056;0.0;0.04592300130744447;0.05769443800142753;0.029319092812066773;0.0;0.03708928157234627;0.009168871134443791;0.0;0.0;0.0;0.04063075502319307;0.018240947640917743;0.02198206001195234;0.004874819451131441
CIAT;0.0407968134922856;0.0;0.014620239620987425;0.09109438256748942;0.0012639689558030587;0.08837988097236993;0.0;0.0;0.0;0.0;0.0;0.0;0.009986700505979018;0.00852329597356668;0.049826508330591365;0.008984061315729529;0.0010074438909721812;0.04539660333683845;0.012316412910173193;0.09860205750995737;0.053574756732006;0.06706465440873625;0.049771285518047506;0.0;0.01774550566839161;0.03678529600578;0.0;0.07027275467495622;0.02585808197366332;0.0;0.0;0.0;0.02672266413255316;0.0;0.037805192324949444;0.005452323650678175;0.0;0.0;0.04610759704834067;0.04285635395982081;0.010922036893440686;0.01625794115549133;0.022005186470401672
CENICAÑA;0.03932044000650965;0.019346231937693806;0.0;0.06394623854476392;0.019965073870544962;0.06261721269635293;0.0;0.0;0.0;0.0;0.08619942908216079;0.0;0.006131330589318681;0.008067780622742233;0.025985515174930158;0.007458072888161937;0.019839478644320556;0.02271583146069823;0.0030485386729014624;0.061986426939266516;0.02875207264563985;0.0387088773180789;0.02594475558051823;0.022249643599611787;0.0023067382962501134;0.01635988220708804;0.020168356809952655;0.04107675500594691;0.00829457746282757;0.06145145726260995;0.02641221717893005;0.03880440761748186;0.008932719862839335;0.012436210945783807;0.017112660966383354;0.022015701382354348;0.04260778727104499;0.03943363385621601;0.023240611238751815;0.02084089011774949;0.004893646723616353;0.0012087767217787717;0.030120018798180045
UAO;0.012373599163772344;0.02240993743208806;0.03213073974249972;0.0;0.02209899108811715;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02904996138987279;0.0;0.0;0.028383319966082763;0.022162098279697964;0.052593533463448895;0.030598956092310916;0.08796913025668564;0.05803107857074834;0.06700033159960668;0.055502201293582694;0.0;0.03420868745073337;0.0468679900818443;0.050298726496873905;0.06913335467503813;0.03960263122566788;0.0;0.0;0.0;0.04017748037079492;0.0;0.04754610554046721;0.021068622760124976;0.0;0.0;0.0;0.05090455553604971;0.029671854077814624;0.03321962564813955;0.01699648779793766
UNAL;0.01214615826742809;0.00028482222021514165;0.009188932366571924;0.027599694222589073;0.0;0.026765684771003048;0.04109574407660485;0.04202003290181616;0.026289926802057065;0.03190014502020017;0.04156433701589803;0.004863622128321255;0.0063669852769864714;0.005475733458748683;0.030630475224908183;0.00575635166095327;5.780524764513913e-05;0.027932546666634122;0.007785841355548991;0.060336066487494136;0.03291325700463989;0.04112895920176819;0.03059684308082374;0.027547879018668283;0.01109230152085098;0.022688034198466;0.02583053766135631;0.04308277657217391;0.01603307368775646;0.0598946445963858;0.03098256173329222;0.04120778453946611;0.016559626943578553;0.0034651618452004635;0.02330917785952559;0.001286839325643048;0.04434608398434587;0.04172698076376972;0.02836556052172135;0.02638546803874966;0.006936629717416759;0.010186335639576244;0.006372577373201122
UIS;0.013041542501067406;0.024223112022419755;0.035053140258946215;0.0;0.023876684065373167;0.0;0.06401864222861697;0.0;0.0;0.02293787951051346;0.0;0.019538025444649502;0.0;0.030536793497892397;0.0;0.030878108127159694;0.0;0.057850912162890164;0.0;0.0;0.0;0.0;0.0;0.0;0.03736819941101769;0.0;0.0;0.0;0.0;0.09672626493685223;0.06156063146676173;0.07399752295792864;0.04401808218797834;0.028091344487449155;0.05222752993762106;0.02272874197892359;0.07781462214516519;0.07462901893867038;0.05837758492415657;0.0;0.03231367490119407;0.0;0.018191941906752628
UCESAR;0.0;0.0;0.0;0.0;0.043666074362359295;0.015226331809177521;0.0;0.0;0.0;0.009770737121949214;0.0;0.03849825734632444;0.0;0.05159899323494078;0.0;0.05200553629424582;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13043789407650014;0.0885517779026337;0.10336547611978252;0.0676566827608994;0.0;0.0774350330487532;0.04229874976589515;0.0;0.10411765691115588;0.0847604212821485;0.0;0.05371545335641646;0.0;0.03689492460681805
ITM;0.0;0.0;0.0;0.0;0.08160737842245588;0.0;0.0;0.0;0.030549541075036598;0.0;0.0;0.07216170634368442;0.0;0.0;0.0;0.09685014388369077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11097968930028554;0.0;0.0;0.0;0.0;0.0;0.0;0.19072520719808078;0.12545711598083034;0.0;0.14332986379752752;0.07910819942223879;0.0;0.0;0.0;0.0;0.0;0.0;0.0692311545761693
UPB;0.013067060428991964;0.0;0.0;0.0;0.02428858061097129;0.0;0.0;0.045454545454545456;0.0;0.0;0.0;0.019795206437111235;0.0;0.031186187990408794;0.0;0.03153967381964292;0.0;0.059474321747883085;0.03409615747601409;0.0;0.06574836423754803;0.0;0.0;0.05898976813927001;0.03826120024294507;0.0;0.0;0.0;0.0;0.09973596052256137;0.06331632877573869;0.0761967169128879;0.04514821628667518;0.028653534839379245;0.05365041102578221;0.0230997031778168;0.0;0.07685073189281921;0.06001977553681366;0.0;0.03302643256956774;0.0;0.018401121874626072
UPAMPLONA;0.0;0.0;0.0;0.0;0.04108899546476698;0.006613443724462515;0.07142857142857142;0.0;0.0;0.0;0.0;0.03482440489797217;0.0;0.0;0.0;0.0;0.0;0.09014439425489822;0.0;0.0;0.0;0.0;0.0;0.08946883734639884;0.06056939877706878;0.0;0.0;0.0;0.0;0.0;0.09550085914141518;0.11345849073373886;0.07017116664049441;0.0;0.08202479086558463;0.03943148151986958;0.0;0.11437030798182271;0.09090485722293579;0.0;0.0;0.0;0.0
ULIBRE;0.04749906292949065;0.0;0.08733959898009708;0.0;0.06711044474986003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13454250135354628;0.0;0.0;0.0;0.08425073693075859;0.0;0.0;0.0;0.0;0.0;0.0;0.11705745977538073;0.0;0.0;0.0;0.0;0.0;0.15782812507230484;0.10356595819508652;0.0;0.11842488859272833;0.0;0.0;0.0;0.0;0.0;0.08238122342074698;0.0;0.0
