;CENICAÑA;UAO;UIS;UCESAR;ITM;UPB;UPAMPLONA;ULIBRE;UDEA;SENA;BIOPACIFICO;CORPOICA-AGROSAVIA;BIOTEC;ALEXANDER VON HUMBOLT;CORPOGEN;CENIPALMA;INCAUCA;RIOPAILA;MAYAGUEZ;PROVIDENCIA;RISARALDA;GPC;PROGEN;BIOENERGY;CIAMSA
CENICAÑA;inf;19.0;19.0;inf;inf;inf;inf;19.0;inf;19.0;19.0;19.0;19.0;19.0;19.0;19.0;19.0;19.0;19.0;19.0;19.0;19.0;19.0;19.0;19.0
UAO;13.0;inf;inf;inf;inf;inf;inf;inf;inf;13.0;inf;inf;13.0;13.0;13.0;13.0;13.0;13.0;13.0;13.0;inf;13.0;13.0;13.0;inf
UIS;9.0;inf;inf;9.0;inf;inf;9.0;inf;9.0;inf;9.0;inf;9.0;inf;9.0;inf;inf;inf;inf;inf;inf;9.0;inf;inf;9.0
UCESAR;inf;inf;6.0;inf;inf;inf;6.0;inf;6.0;inf;6.0;inf;6.0;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;6.0
ITM;inf;inf;inf;inf;inf;4.0;inf;inf;4.0;inf;inf;inf;4.0;inf;inf;inf;inf;inf;inf;inf;inf;4.0;inf;inf;inf
UPB;inf;inf;inf;inf;10.0;inf;inf;inf;10.0;inf;10.0;inf;10.0;inf;10.0;10.0;inf;10.0;inf;inf;10.0;10.0;inf;inf;10.0
UPAMPLONA;inf;inf;6.0;6.0;inf;inf;inf;inf;6.0;inf;inf;inf;inf;inf;6.0;inf;inf;inf;inf;inf;6.0;6.0;inf;inf;inf
ULIBRE;4.0;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;4.0;inf;inf;inf;4.0;inf;inf;inf;inf;inf;inf;4.0;inf;inf
UDEA;inf;inf;11.0;11.0;11.0;11.0;11.0;inf;inf;inf;11.0;inf;11.0;11.0;inf;inf;inf;inf;inf;inf;11.0;11.0;inf;inf;11.0
SENA;14.0;14.0;inf;inf;inf;inf;inf;inf;inf;inf;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;14.0;inf;inf;14.0;14.0;inf
BIOPACIFICO;19.0;inf;19.0;19.0;inf;19.0;inf;inf;19.0;19.0;inf;19.0;19.0;19.0;19.0;19.0;19.0;19.0;19.0;19.0;19.0;19.0;19.0;19.0;inf
CORPOICA-AGROSAVIA;15.0;inf;inf;inf;inf;inf;inf;15.0;inf;15.0;15.0;inf;15.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;inf;inf;15.0;15.0;15.0
BIOTEC;12.0;12.0;12.0;12.0;12.0;12.0;inf;inf;12.0;12.0;12.0;12.0;inf;inf;12.0;inf;inf;inf;inf;inf;inf;inf;inf;inf;12.0
ALEXANDER VON HUMBOLT;15.0;15.0;inf;inf;inf;inf;inf;inf;15.0;15.0;15.0;15.0;inf;inf;15.0;15.0;15.0;15.0;15.0;15.0;inf;inf;15.0;15.0;15.0
CORPOGEN;16.0;16.0;16.0;inf;inf;16.0;16.0;inf;inf;16.0;16.0;16.0;16.0;16.0;inf;16.0;inf;16.0;16.0;inf;16.0;16.0;inf;inf;16.0
CENIPALMA;16.0;16.0;inf;inf;inf;16.0;inf;16.0;inf;16.0;16.0;16.0;inf;16.0;16.0;inf;16.0;16.0;16.0;16.0;inf;inf;16.0;16.0;16.0
INCAUCA;13.0;13.0;inf;inf;inf;inf;inf;inf;inf;13.0;13.0;13.0;inf;13.0;inf;13.0;inf;13.0;13.0;13.0;inf;inf;13.0;13.0;13.0
RIOPAILA;15.0;15.0;inf;inf;inf;15.0;inf;inf;inf;15.0;15.0;15.0;inf;15.0;15.0;15.0;15.0;inf;15.0;15.0;inf;inf;15.0;15.0;15.0
MAYAGUEZ;14.0;14.0;inf;inf;inf;inf;inf;inf;inf;14.0;14.0;14.0;inf;14.0;14.0;14.0;14.0;14.0;inf;14.0;inf;inf;14.0;14.0;14.0
PROVIDENCIA;13.0;13.0;inf;inf;inf;inf;inf;inf;inf;13.0;13.0;13.0;inf;13.0;inf;13.0;13.0;13.0;13.0;inf;inf;inf;13.0;13.0;13.0
RISARALDA;8.0;inf;inf;inf;inf;8.0;8.0;inf;8.0;inf;8.0;inf;inf;inf;8.0;inf;inf;inf;inf;inf;inf;8.0;inf;inf;8.0
GPC;11.0;11.0;11.0;inf;11.0;11.0;11.0;inf;11.0;inf;11.0;inf;inf;inf;11.0;inf;inf;inf;inf;inf;11.0;inf;inf;inf;11.0
PROGEN;14.0;14.0;inf;inf;inf;inf;inf;14.0;inf;14.0;14.0;14.0;inf;14.0;inf;14.0;14.0;14.0;14.0;14.0;inf;inf;inf;14.0;14.0
BIOENERGY;13.0;13.0;inf;inf;inf;inf;inf;inf;inf;13.0;13.0;13.0;inf;13.0;inf;13.0;13.0;13.0;13.0;13.0;inf;inf;13.0;inf;13.0
CIAMSA;18.0;inf;18.0;18.0;inf;18.0;inf;inf;18.0;inf;inf;18.0;18.0;18.0;18.0;18.0;18.0;18.0;18.0;18.0;18.0;18.0;18.0;18.0;inf
