;UNIVALLE;CIAT;CENICAÑA;UAO;UNAL;UIS;UCESAR;ITM;UPB;UPAMPLONA;ULIBRE;UDEA;SENA;BIOPACIFICO;CORPOICA-AGROSAVIA;BIOTEC;ALEXANDER VON HUMBOLT;CORPOGEN;CENIPALMA
UNIVALLE;0.0504805327331101;0.048136753911115195;0.06056514120226005;0.02889484559762913;0.08228983859031223;0.11149543472615425;0.056072165852727486;0.03586636247759662;0.03713207011935609;0.048418711199082184;0.04903690165425493;0.051841370722668034;0.02773102430806451;0.05597392929223937;0.035946627049352066;0.08655945213099346;0.025860771365167897;0.06686377080399605;0.04083429626392044
CIAT;0.050494161669136825;0.04810029726958674;0.0605300741654828;0.028866521724145777;0.0823022167390543;0.11151565371159605;0.05609768049276456;0.03590013771335793;0.037117158924136556;0.04844259083333729;0.04898720710062237;0.051873899673353645;0.02772943615298518;0.05598948719371276;0.0359318282819674;0.0865560941217386;0.02585256174613617;0.066882549514157;0.040830442972728136
CENICAÑA;0.050484510938401624;0.04812195429886734;0.06054887216464127;0.028882827240565654;0.08229184315090829;0.11150926603136242;0.056078979269905696;0.03587926452849835;0.03712471726666754;0.04842725944800517;0.04902261728947184;0.05185055708889574;0.027731709096271706;0.05597993401188815;0.03593900607301262;0.08656031399154983;0.025860423503684313;0.06687120687375582;0.040834737733646743
UAO;0.050507702252503575;0.04811947107445209;0.060565377122104656;0.02888125966361094;0.08228952620211549;0.11147054670809547;0.05607662361429099;0.035882925136214786;0.03710860743606678;0.048415564579171844;0.049012143653640816;0.05185230477860364;0.027738809046003905;0.055988497540145905;0.03595551542935294;0.0865337070634172;0.02586400651581346;0.06688386653717741;0.040853545647218194
UNAL;0.050465668970567236;0.04805024576600233;0.06043689196398471;0.028829249557357058;0.08232998287666843;0.11160398256422402;0.056167164241151486;0.03595784192126246;0.03713780794241585;0.04851791066754342;0.04891475341481504;0.051946476185448676;0.0277040951060826;0.05600130003838055;0.03586880850508998;0.08660004826809503;0.025815386443164088;0.06688728962219677;0.040765095945550354
UIS;0.05046374394248222;0.047990975257385514;0.06035872984286119;0.028784369469366824;0.08236295126036455;0.11166640179906208;0.056233727492642355;0.036016424963982774;0.03713742520698369;0.04858500437501856;0.04882149754187483;0.05202037760838835;0.027685615806515188;0.05602085035397698;0.03582345605441008;0.08661813863175888;0.02578301678527906;0.06690580147252972;0.040721492135117124
UCESAR;0.05039748208098191;0.048003463811238774;0.0603359806215074;0.028797152939156696;0.08241212621401235;0.1117511889432456;0.056260861670534096;0.03599473639695164;0.03721337695489643;0.048626778190203584;0.048798679181716306;0.05203743652857791;0.02764800959211383;0.05598272694308133;0.03579287062030216;0.086703318564185;0.025746444695967974;0.06685258262496072;0.04064478342636642
ITM;0.050400432100621693;0.04803500145487446;0.06038599920589241;0.028823049791338984;0.08241070191441109;0.11170221560176444;0.0562328996928751;0.035963981991993646;0.03722606494794932;0.04859148441507823;0.048825714826091986;0.05200819181862485;0.027652184782876885;0.055968234832845645;0.03582404421958223;0.08669810927056322;0.025753441668171867;0.06683716539144448;0.04066108207299945
UPB;0.050474620861096206;0.048006941542920206;0.060385403968176043;0.028795713879568027;0.08233839401267595;0.11163184413168824;0.05619784541392529;0.036004870686344434;0.03712614139154087;0.04854749987594293;0.04886405952506848;0.05198590483119178;0.027701930046711;0.05602037442222793;0.03584296825653312;0.08660615723429838;0.025805590200132202;0.06690770450589356;0.04075603521406555
UPAMPLONA;0.050409657849334474;0.04801033541255839;0.060354989857055535;0.02880164993040184;0.08240052223874562;0.11173254178084069;0.05623970771163822;0.035985394711970306;0.037199096044030544;0.04860457245425921;0.048818546802138506;0.0520172685096688;0.027658788836535927;0.05598376423174197;0.0358083761110412;0.08668723423478078;0.025760808121361695;0.06685746126782048;0.04066928389407563
ULIBRE;0.05055538519874356;0.04814130403746626;0.06063518319930735;0.028897781833024216;0.08226937495511238;0.11137645747482475;0.056038001903764185;0.03585811734506885;0.03706994468658877;0.04836141575727565;0.04903882844657117;0.05181707838763594;0.02776260469454258;0.05599594916569991;0.036010224140662635;0.08646731456439646;0.025889181895702128;0.06690176062328565;0.04091409169032789
UDEA;0.050404412990809486;0.04799484176114025;0.060326810399874635;0.028790560317308093;0.0824055289554547;0.11174648768789715;0.05626347454733959;0.03600880791177943;0.03720458657723319;0.048626090348350574;0.04879530791244324;0.05204319713995386;0.027652154703803646;0.05599077177233359;0.035789801033114514;0.08669617332224963;0.025748500761449824;0.06686200602042802;0.040650485837036586
SENA;0.050501689529823236;0.04811233414627498;0.060551071001624206;0.02887629263747284;0.08229681909069236;0.11148528818216873;0.05609060084282145;0.03589107017243721;0.03711432044349139;0.048430011688454205;0.048997536647714876;0.05186636161825491;0.02773278620459653;0.055989384764078706;0.03594524363085888;0.08654126796876195;0.025855387037916344;0.0668831844307136;0.040839349961843796
BIOPACIFICO;0.05044765366823914;0.048034295709714556;0.060411376313561624;0.02881938057075716;0.08236797974461861;0.11164454274755557;0.05620337664809613;0.035967788343872126;0.037164660659217856;0.048554689124421374;0.048860697935258525;0.05198285162036674;0.027682676290426075;0.05599367777543081;0.03585050774586582;0.08662894441308784;0.02578679646125774;0.0668751086318337;0.040722995596418565
CORPOICA-AGROSAVIA;0.05050512850659323;0.048144608538353985;0.06059123324151785;0.028899578384680425;0.08226842622014731;0.1114506564986587;0.056049784716152594;0.03586043104246226;0.037106411069417145;0.04839114253649824;0.04906053238971138;0.05182092612892212;0.027747174681518848;0.055982661363547494;0.03596806791482448;0.08652622651296746;0.025879278842191197;0.06687793011833391;0.04086980129350162
